黃尾刺尾魚:Acanthurus thompsoni
橫帶刺尾魚:Acanthurus triostegus
暗體刺尾魚:Acanthurus tristis
黃鰭刺尾魚:Acanthurus xanthopterus
馬頭小刺眼鰍:Acantopsis choirorhynchos
蒼帶小刺眼鰍:Acantopsis dialuzona
纖細小刺眼鰍:Acantopsis spectabilis
泰國小刺眼鰍:Acantopsis thiemmedhi
坦噶尼喀鲃:Acapoeta tanganicae
赫氏萎鰓麗魚:Acarichthys heckelii
大眼麗魚:Acaronia nassa
鷹大眼麗魚:Acaronia vultuosa
彎紋細棘鰕虎:Acentrogobius audax
犬牙細棘鰕虎:Acentrogobius caninus
綠斑細棘鰕虎:Acentrogobius chlorostigmatoides
戴氏細棘鰕虎:Acentrogobius dayi
紫鰭細棘鰕虎:Acentrogobius janthinopterus
多帶細棘鰕虎:Acentrogobius multifasciatus
普氏細棘鰕虎:Acentrogobius pflaumii
頭紋細棘鰕虎:Acentrogobius viganensis
青斑細棘鰕虎:Acentrogobius viridipunctatus
巴西細棘鯰:Acentronichthys leptos
短身細尾海龍:Acentronura breviperula
南非細尾海龍:Acentronura tentaculata
長絲無刺鮟鱇:Acentrophryne dolichonema
盤蜓狀鯰:Acestridium discus
裸腹蜓狀鯰:Acestridium gymnogaster
馬丁蜓狀鯰:Acestridium martini
楯蜓狀鯰:Acestridium scutatum
沙丁粘鱸:Acestrocephalus sardina
短狼牙脂鯉:Acestrorhynchus abbreviatus
多鱗狼牙脂鯉:Acestrorhynchus altus
布氏狼牙脂鯉:Acestrorhynchus britskii
鐮狀狼牙脂鯉:Acestrorhynchus falcatus
鐮吻狼牙脂鯉:Acestrorhynchus falcirostris
大眼狼牙脂鯉:Acestrorhynchus grandoculis
異鱗狼牙脂鯉:Acestrorhynchus heterolepis
湖沼狼牙脂鯉:Acestrorhynchus lacustris
小鱗狼牙脂鯉:Acestrorhynchus microlepis
小狼牙脂鯉:Acestrorhynchus minimus
大鼻狼牙脂鯉:Acestrorhynchus nasutus
紫鰭狼牙脂鯉:Acestrorhynchus pantaneiro
阿氏鱊:Acheilognathus asmussii
短鬚鱊:Acheilognathus barbatulus
鬚鱊:Acheilognathus barbatus
興凱鱊:Acheilognathus chankaensis
縱帶鱊:Acheilognathus cyanostigma
迪氏鱊:Acheilognathus deignani
無鬚鱊:Acheilognathus gracilis
缺鬚鱊:Acheilognathus imberbis
間鱊:Acheilognathus intermedia
長鬚鱊:Acheilognathus longibarbatus
長鰭鱊:Acheilognathus longipinnis
大鰭鱊:Acheilognathus macropterus
大身鱊:Acheilognathus majusculus
黑腹鱊:Acheilognathus melanogaster
廣西鱊:Acheilognathus meridianus
峨眉鱊:Acheilognathus omeiensis
白河鱊:Acheilognathus peihoensis
多鱗鱊:Acheilognathus polylepis
斜方鱊:Acheilognathus rhombeus
高麗鱊:Acheilognathus signifer
韓鱊:Acheilognathus somjinensis
紅鰭巨口鱊:Acheilognathus tabira erythropterus
越南鱊:Acheilognathus tonkinensis
細鱗鱊:Acheilognathus typus
山津鱊:Acheilognathus yamatsutae
白吻似無臂鰨:Achiroides leucorhynchos
毛鱗無臂鮃:Achiropsetta tricholepis
亞馬遜河無臂鰨:Achirus achirus
斜體無臂鰨:Achirus declivis
線紋無臂鰨:Achirus lineatus
綠藍唇魚:Achoerodus viridis
阿氏歐雅羅魚:Achondrostoma arcasii
葡萄牙歐雅羅魚:Achondrostoma occidentale
寡鱗歐雅羅魚:Achondrostoma oligolepis
似鮭歐雅羅魚:Achondrostoma salmantinum
黑紋葡齒魚:Acinocheirodon melanogramma
西伯利亞鱘:Acipenser baerii
短吻鱘:Acipenser brevirostrum
達氏鱘:Acipenser dabryanus
湖鱘:Acipenser fulvescens
俄羅斯鱘:Acipenser gueldenstaedtii
中吻鱘:Acipenser medirostris
米氏鱘:Acipenser mikadoi
納氏鱘:Acipenser naccarii
裸腹鱘:Acipenser nudiventris
尖吻鱘:Acipenser oxyrinchus
裏海鱘:Acipenser persicus
小體鱘:Acipenser ruthenus
史氏鱘:Acipenser schrenckii
中華鱘:Acipenser sinensis
閃光鱘:Acipenser stellatus
鱘:Acipenser sturio
高首鱘:Acipenser transmontanus
諾氏尖牙脂鯉:Acnodon normani
寡棘尖牙脂鯉:Acnodon oligacanthus
塞納氏尖牙脂鯉:Acnodon senai
